text_id,head,relation,tail,fb_head,fb_relation,fb_tail,label
328,Donald Trump,associated with,Republican Party,/m/0cqt90,/government/politician/party./government/political_party_tenure/party,/m/07wbk,TRUE
328,Donald Trump,role,presidential candidate,/m/0cqt90,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/066q5c,TRUE
328,Hillary Clinton,role,presidential candidate,/m/0d06m5,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/066q5c,TRUE
2,HIVAIDs drug,cause,death,/m/01cw8w,/medicine/disease/causes,/m/0294j,FALSE
2,Bill Clinton,associates with,Ranbaxy,/m/0157m,/base/popstra/celebrity/endorsements./base/popstra/paid_support/company,/m/0243xw,FALSE
2,Bill Clinton,Chairman,Clinton Health Access Initiative,/m/0157m,/organization/organization/board_members./organization/organization_board_membership/member,Clinton Health Access Initiative,FALSE
2,Bill Clinton,involved with,corruption,/m/0157m,/base/fight/crime_type/people_convicted_of_this_crime./base/crime/criminal_conviction/guilty_of,/m/09pngm,FALSE
3,Donald Trump,encourage ,manslaugther,/m/0cqt90,/influence/influence_node/influenced,/m/0x2gl,FALSE
3,Donald Trump,ethnicity,Oompa Loompa,/m/0cqt90,/fictional_universe/fictional_character/species,Oompa Loompa,FALSE
3,Donald Trump,supports,concentration camps,/m/0cqt90,/base/popstra/celebrity/supporter./base/popstra/support/supported_organization,/m/01b5_d,FALSE
8,Hillary Clinton,collaboration,CNN,/m/0d06m5,/influence/influence_node/influenced_by,/m/0gsgr,FALSE
8,Hillary Clinton,medical condition,Parkinsons disease,/m/0d06m5,/medicine/notable_person_with_medical_condition/condition,/m/0g02vk,FALSE
8,Hillary Clinton,involved with,corruption,/m/0d06m5,/influence/influence_node/influenced,/m/09pngm,FALSE
8,Democratic Party,supports,slavery,/m/0d075m,/base/popstra/celebrity/supporter./base/popstra/support/supported_organization,/m/06z49,FALSE
8,Republican Party,supports,emancipation,/m/0d075m,/base/popstra/celebrity/supporter./base/popstra/support/supported_organization,/m/0dtbg9,FALSE
8,Bill Clinton,is,sexual predator,/m/0157m,/base/fight/crime_type/people_convicted_of_this_crime./base/crime/criminal_conviction/guilty_of,/m/01fdjk,FALSE
8,Hillary Clinton,is,racism,/m/0d06m5,/base/fight/crime_type/people_convicted_of_this_crime./base/crime/criminal_conviction/guilty_of,/m/06d4h,FALSE
11,Barack Obama,created,ISIS,/m/02mjmr,/organization/organization_founder/organizations_founded,/m/027x630,FALSE
11,Europe,supports,ISIS,/m/02j9z,/base/popstra/celebrity/supporter./base/popstra/support/supported_organization,/m/027x630,FALSE
11,The United States,supports,ISIS,/m/09c7w0,/base/popstra/celebrity/supporter./base/popstra/support/supported_organization,/m/027x630,FALSE
14,ISIS,creator,Barack Obama,/m/027x630,/organization/organization/founders,/m/02mjmr,FALSE
14,Barack Obama,appear at,Coachella,/m/02mjmr,/projects/project_role/projects./projects/project_participation/participant,/m/02h71z,FALSE
14,Michelle Obama,medical condition,sleep apnea,/m/025s5v9,/medicine/notable_person_with_medical_condition/condition,/m/071d3,FALSE
14,Barack Obama,profession,terrorism,/m/02mjmr,/people/person/profession,/m/07jq_,FALSE
14,Barack Obama,place of birth,Kenya,/m/02mjmr,/people/person/place_of_birth,/m/019rg5,FALSE
14,Barack Obama,religion,Islam,/m/02mjmr,/people/person/religion,/m/0flw86,FALSE
14,Barack Obama,guilty of,crime of possessing illegal drugs,/m/02mjmr,/base/fight/crime_type/people_convicted_of_this_crime./base/crime/criminal_conviction/guilty_of,/m/05cxz3,FALSE
14,Hillary Clinton,guilty of,crime of possessing illegal drugs,/m/0d06m5,/base/fight/crime_type/people_convicted_of_this_crime./base/crime/criminal_conviction/guilty_of,/m/05cxz3,FALSE
119,Megan Rapinoe,profession,soccer player,/m/05mz656,/people/person/profession,/m/0pcq81q,TRUE
119,Megan Rapinoe,supports,BLM,/m/05mz656,/base/popstra/celebrity/supporter./base/popstra/support/supported_organization,/m/012hdhkj,TRUE
119,Colin Kaepernick,profession,american football player,/m/03cm6b3,/people/person/profession,/m/02h665k,TRUE
119,Colin Kaepernick,supports,BLM,/m/03cm6b3,/base/popstra/celebrity/supporter./base/popstra/support/supported_organization,/m/012hdhkj,TRUE
138,Barry Marshall,nobel prize in,medicine,/m/023fbk,/base/nobelprizes/nobel_subject_area/nobel_awards./base/nobelprizes/nobel_honor/nobel_prize_winner,/m/04sh3,TRUE
138,Jonas Salk,pioneer,vaccine,/m/0g60g,/law/inventor/inventions,/m/07__7,TRUE
138,Michael Oreskes,profession,News Director,Michael Oreskes,/people/person/profession,/m/014l7h,TRUE
173,Joa Arpaio,profession,Sheriff,/m/0fzdz7,/people/person/profession,m/0mb31,TRUE
173,Donald Trump,associated with,GOP (republican party),/m/0cqt90,/government/politician/party./government/political_party_tenure/party,/m/07wbk,TRUE
173,Donald Trump,role,presidential candidate,/m/0cqt90,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/066q5c,TRUE
173,Barack Obama,born in,Hawaii,/m/02mjmr,/people/person/place_of_birth,/m/03gh4,TRUE
174,Benjamin Netanyahu,profession,prime minister,/m/0fm2h,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/060bp,TRUE
174,Benjamin Netanyahu,place of birth,Israel,/m/0fm2h,/people/person/place_of_birth,/m/03spz,TRUE
174,Hillary Clinton,associated with,Democratic Party,/m/0d06m5,/government/politician/party./government/political_party_tenure/party,/m/0d075m,TRUE
174,Hillary Clinton,role,presidential candidate,/m/0d06m5,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/066q5c,TRUE
178,Ben LaBolt,press secretary,Obamas 2012 reelection campaign,Ben LaBolt,/projects/project_role/projects./projects/project_participation/participant,/m/0gk_h41,TRUE
178,Josh Ernest,press secretary,Obamas 2012 reelection campaign,/m/0l8ps43,/projects/project_role/projects./projects/project_participation/participant,/m/081sq,TRUE
178,Hillary Clinton,associated with,Democratic Party,/m/0d06m5,/government/politician/party./government/political_party_tenure/party,/m/0d075m,TRUE
178,Hillary Clinton,role,presidential candidate,/m/0d06m5,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/066q5c,TRUE
178,Barack Obama,profession,president,/m/02mjmr,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/060d2,TRUE
178,Donald Trump,associated with,Republican Party,/m/0cqt90,/government/politician/party./government/political_party_tenure/party,/m/07wbk,TRUE
178,Donald Trump,role,presidential candidate,/m/0cqt90,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/066q5c,TRUE
